Maximum depth,Initial radius,Photons per iteration,Work unit granularity,Russian roulette start depth,Size reduction parameter,Samples per pixel,Effective dimension,filter,filter parameters,PSNR
6,1,250000,1,5,0.7,4,4,gaussian,"0.1",28.8705
6,1,250000,1,5,0.7,4,4,gaussian,"0.25",32.7875
6,1,250000,1,5,0.7,4,4,gaussian,"0.75",36.9516
6,1,250000,1,5,0.7,4,4,gaussian,"1",34.9614
6,1,250000,1,5,0.7,4,4,box,"",32.7677
6,1,250000,1,5,0.7,4,4,tent,"",35.8173
6,1,250000,1,5,0.7,4,4,Mitchell-Netravali,"B=0.3333, C=0.3333",34.5115
6,1,250000,1,5,0.7,4,4,Mitchell-Netravali,"B=0.3333, C=0.6666",33.157
6,1,250000,1,5,0.7,4,4,Mitchell-Netravali,"B=0.6666, C=0.3333",35.8221
6,1,250000,1,5,0.7,4,4,Mitchell-Netravali,"B=0.6666, C=0.6666",34.4681
6,1,250000,1,5,0.7,4,4,Catmull-Rom,"",32.5171
6,1,250000,1,5,0.7,4,4,Lanczos Sinc,"3",31.9394
6,1,250000,1,5,0.7,4,4,Lanczos Sinc,"2",32.5008
6,1,250000,1,5,0.7,4,4,Lanczos Sinc,"1",34.4733
6,1,250000,1,5,0.7,4,4,Lanczos Sinc,"4",31.4892
6,1,250000,1,5,0.7,4,4,Lanczos Sinc,"5",31.1453
-1,1,250000,1,5,0.7,4,4,gaussian,"0.5",39.272
6,0,250000,1,5,0.7,4,4,gaussian,"0.5",38.4881
6,1,250000,0,5,0.7,4,4,gaussian,"0.5",37.5292
-1,0,250000,0,5,0.7,4,4,gaussian,"0.5",42.6138
